FRED Graph Observations,,,,,,
Federal Reserve Economic Data,,,,,,
Link: https://fred.stlouisfed.org,,,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,,,
Economic Research Division,,,,,,
Federal Reserve Bank of St. Louis,,,,,,
,,,,,,
CATEPUINDXM,"Economic Policy Uncertainty Index: Categorical Index: Overall, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTRADE,"Economic Policy Uncertainty Index: Categorical Index: Trade policy, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUSOVDEBT,"Economic Policy Uncertainty Index: Categorical Index: Sovereign debt, currency crises, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTAXES,"Economic Policy Uncertainty Index: Categorical Index: Taxes, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUHEALTHCARE,"Economic Policy Uncertainty Index: Categorical Index: Health care, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUREG,"Economic Policy Uncertainty Index: Categorical Index: Regulation, Index, Monthly, Not Seasonally Adjusted",,,,,
,,,,,,
Frequency: Monthly,,,,,,
observation_date,CATEPUINDXM,EPUTRADE,EPUSOVDEBT,EPUTAXES,EPUHEALTHCARE,EPUREG
1989-06-01,98.901078537454200,49.102979433577900,121.1653962104090000,39.363963332818800,40.186971154260900,85.395373966934600
1989-07-01,114.151598118191000,91.212841375175500,62.5207596146099000,69.639823136181700,20.736283144832200,117.502935435792000
1989-08-01,69.976175217080500,97.192836361613100,0.0000000000000000,55.654103898209700,31.249735119021800,71.709195809520200
1989-09-01,58.854462833730700,58.784577605255900,30.2198933019823000,35.905010968592200,31.500992391612200,33.561245398229200
1989-10-01,93.834077706252800,63.549835683698900,112.0100931398910000,75.898324017800000,31.843224381952400,110.041572569651000
1989-11-01,95.643488759768300,73.401519946565100,56.6012258151412000,51.487769712649800,37.545898421012900,87.036242059090100
1989-12-01,101.452865578083000,125.459159384534000,29.7673241060164000,74.050288958330500,36.670917189776500,68.660245136852600
1990-01-01,120.590518287427000,88.354025659884300,54.5050964796640000,93.090873017777200,105.883819200062000,123.391367130280000
1990-02-01,125.657547574299000,55.781483879693900,28.6760670866822000,83.047459058655500,67.935725927000800,146.984868278920000
1990-03-01,84.911206586490500,80.433834088444700,49.6191752948102000,63.559547339844800,32.914419935672400,103.852609976041000
